medicine name,bangla name,generic,company,category,strength,dosage form,pack size,sku,barcode,mrp,selling price,purchase price,stock quantity,unit type,batch number,expiry date,prescription required,active,image url,aliases,uses,dosage,side effects,warnings,storage,alternatives
Paracetamol 500mg Tablet SQUA,,Paracetamol,Square Pharmaceuticals,Pain & Fever,500mg,Tablet,10 units/strip,MB-00001,8801602000001,17.15,16.12,12.57,31,tablet,MB240001,2029-02-15,no,yes,/assets/images/medicine-placeholder.svg,Paracetamol; Pain & Fever; Square Pharmaceuticals,"Fever, headache and mild pain",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Paracetamol
Paracetamol 500mg Tablet BEXI,,Paracetamol,Beximco Pharmaceuticals,Pain & Fever,500mg,Tablet,10 units/strip,MB-00002,8801602000002,17.15,16.12,12.57,32,tablet,MB240002,2030-03-15,no,yes,/assets/images/medicine-placeholder.svg,Paracetamol; Pain & Fever; Beximco Pharmaceuticals,"Fever, headache and mild pain",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Paracetamol
Paracetamol 500mg Tablet INCE,,Paracetamol,Incepta Pharmaceuticals,Pain & Fever,500mg,Tablet,10 units/strip,MB-00003,8801602000003,17.15,16.12,12.57,33,tablet,MB240003,2028-04-15,no,yes,/assets/images/medicine-placeholder.svg,Paracetamol; Pain & Fever; Incepta Pharmaceuticals,"Fever, headache and mild pain",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Paracetamol
Paracetamol 500mg Tablet RENA,,Paracetamol,Renata Limited,Pain & Fever,500mg,Tablet,10 units/strip,MB-00004,8801602000004,17.15,16.12,12.57,34,tablet,MB240004,2029-05-15,no,yes,/assets/images/medicine-placeholder.svg,Paracetamol; Pain & Fever; Renata Limited,"Fever, headache and mild pain",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Paracetamol
Paracetamol 500mg Tablet OPSO,,Paracetamol,Opsonin Pharma,Pain & Fever,500mg,Tablet,10 units/strip,MB-00005,8801602000005,17.15,16.12,12.57,35,tablet,MB240005,2030-06-15,no,yes,/assets/images/medicine-placeholder.svg,Paracetamol; Pain & Fever; Opsonin Pharma,"Fever, headache and mild pain",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Paracetamol
Paracetamol 500mg Tablet ESKA,,Paracetamol,Eskayef Pharmaceuticals,Pain & Fever,500mg,Tablet,10 units/strip,MB-00006,8801602000006,17.15,16.12,12.57,36,tablet,MB240006,2028-07-15,no,yes,/assets/images/medicine-placeholder.svg,Paracetamol; Pain & Fever; Eskayef Pharmaceuticals,"Fever, headache and mild pain",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Paracetamol
Paracetamol 500mg Tablet ACI,,Paracetamol,ACI Limited,Pain & Fever,500mg,Tablet,10 units/strip,MB-00007,8801602000007,17.15,16.12,12.57,37,tablet,MB240007,2029-08-15,no,yes,/assets/images/medicine-placeholder.svg,Paracetamol; Pain & Fever; ACI Limited,"Fever, headache and mild pain",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Paracetamol
Paracetamol 500mg Tablet ARIS,,Paracetamol,Aristopharma,Pain & Fever,500mg,Tablet,10 units/strip,MB-00008,8801602000008,17.15,16.12,12.57,38,tablet,MB240008,2030-09-15,no,yes,/assets/images/medicine-placeholder.svg,Paracetamol; Pain & Fever; Aristopharma,"Fever, headache and mild pain",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Paracetamol
Paracetamol 500mg Tablet HEAL,,Paracetamol,Healthcare Pharmaceuticals,Pain & Fever,500mg,Tablet,10 units/strip,MB-00009,8801602000009,17.15,16.12,12.57,39,tablet,MB240009,2028-10-15,no,yes,/assets/images/medicine-placeholder.svg,Paracetamol; Pain & Fever; Healthcare Pharmaceuticals,"Fever, headache and mild pain",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Paracetamol
Paracetamol 500mg Tablet DRUG,,Paracetamol,Drug International,Pain & Fever,500mg,Tablet,10 units/strip,MB-00010,8801602000010,17.15,16.12,12.57,40,tablet,MB240010,2029-11-15,no,yes,/assets/images/medicine-placeholder.svg,Paracetamol; Pain & Fever; Drug International,"Fever, headache and mild pain",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Paracetamol
Paracetamol 500mg Tablet ACME,,Paracetamol,Acme Laboratories,Pain & Fever,500mg,Tablet,10 units/strip,MB-00011,8801602000011,17.15,16.12,12.57,41,tablet,MB240011,2030-12-15,no,yes,/assets/images/medicine-placeholder.svg,Paracetamol; Pain & Fever; Acme Laboratories,"Fever, headache and mild pain",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Paracetamol
Paracetamol 500mg Tablet GENE,,Paracetamol,General Pharmaceuticals,Pain & Fever,500mg,Tablet,10 units/strip,MB-00012,8801602000012,17.15,16.12,12.57,42,tablet,MB240012,2028-01-15,no,yes,/assets/images/medicine-placeholder.svg,Paracetamol; Pain & Fever; General Pharmaceuticals,"Fever, headache and mild pain",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Paracetamol
